TimeStamp,Participant,CarPositionX,CarPositionY,CarPositionZ,ParticipantPosX,ParticipantPosY,ParticipantPosZ,ParticipantRotX,ParticipantRotY,ParticipantRotZ,SliderPosition,CarSpeed,Trial
09:25:24.361,38,-6.05,0.6,-188.58,3.07,0.23,8.18,0,-0.7030182,0,,0,1
09:25:24.380,38,-6.05,0.596076,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,0.70631999373436,1
09:25:24.775,38,-6.05,0.5926849,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,1.09872003793716,1
09:25:24.776,38,-6.05,0.5880827,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,1.49112002849579,1
09:25:24.776,38,-6.05,0.5822693,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,1.88352012634277,1
09:25:24.777,38,-6.05,0.5752449,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,2.27592022418976,1
09:25:24.777,38,-6.05,0.5670093,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,2.66832032203674,1
09:25:24.777,38,-6.05,0.5575627,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,3.06072041988373,1
09:25:24.778,38,-6.05,0.5469049,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,3.45312051773071,1
09:25:24.778,38,-6.05,0.5350361,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,3.84552040100098,1
09:25:24.779,38,-6.05,0.5219561,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,4.23792028427124,1
09:25:24.817,38,-6.05,0.5076649,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,4.6303201675415,1
09:25:24.817,38,-6.05,0.4921627,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,5.02272005081177,1
09:25:24.818,38,-6.05,0.4754493,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,5.41511993408203,1
09:25:24.818,38,-6.05,0.4575249,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,5.8075198173523,1
09:25:24.835,38,-6.05,0.4383893,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,6.19991970062256,1
09:25:24.835,38,-6.05,0.4180427,-188.58,3.07,0.23,8.18,0,-0.7030182,0,255,6.59231958389282,1
